,player,span,mat,inns,no,runs,hs,ave,bf,sr
0,V Kohli (RCB),2008-2024,252,244,37,8004,113*,38.66,6065,131.97
1,S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,221,29,6769,106*,35.25,5324,127.14
2,RG Sharma (DCH/MI),2008-2024,257,252,29,6628,109*,29.72,5054,131.14
3,DA Warner (DC/SRH),2009-2024,184,184,22,6565,126,40.52,4697,139.77
4,SK Raina (CSK/GL),2008-2021,205,200,30,5528,100*,32.51,4043,136.73
5,MS Dhoni (CSK/RPS),2008-2024,264,229,95,5243,84*,39.12,3812,137.53
6,AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.7,3403,151.68
7,CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,141,16,4965,175*,39.72,3333,148.96
8,RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,197,17,4952,88,27.51,3799,130.35
9,KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,234,50,4842,97*,26.31,3577,135.36
10,KL Rahul (KXIP/LSG/PBKS/RCB/SRH),2013-2024,132,123,20,4683,132*,45.46,3479,134.6
11,AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2024,185,171,17,4642,105*,30.14,3761,123.42
12,F du Plessis (CSK/RCB/RPS),2012-2024,145,138,11,4571,96,35.99,3352,136.36
13,SV Samson (DC/RR),2013-2024,168,163,19,4419,119,30.68,3180,138.96
14,AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*,28.23,3409,127.54
15,G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93,31.0,3404,123.88
16,SR Watson (CSK/RCB/RR),2008-2020,145,141,16,3874,117*,30.99,2809,137.91
17,MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2024,171,159,27,3850,114*,29.16,3179,121.1
18,SA Yadav (KKR/MI),2012-2024,150,135,23,3594,103*,32.08,2473,145.32
19,JC Buttler (MI/RR),2016-2024,107,106,12,3582,124,38.1,2428,147.52
20,KA Pollard (MI),2010-2022,189,171,52,3412,87*,28.67,2316,147.32
21,RR Pant (DC),2016-2024,111,110,17,3284,128*,35.31,2205,148.93
22,Shubman Gill (GT/KKR),2018-2024,103,100,15,3216,129,37.83,2370,135.69
23,YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12,2241,142.97
24,Q de Kock (DC/LSG/MI/RCB/SRH),2013-2024,107,107,6,3157,140*,31.25,2352,134.22
25,SS Iyer (DC/KKR),2015-2024,116,115,18,3127,96,32.23,2453,127.47
26,RA Jadeja (CSK/GL/Kochi/RR),2008-2024,240,184,76,2959,62*,27.39,2280,129.78
27,WP Saha (CSK/GT/KKR/KXIP/SRH),2008-2024,170,145,24,2934,115*,24.24,2300,127.56
28,DA Miller (GT/KXIP/RR),2012-2024,130,124,43,2924,101*,36.09,2100,139.23
29,BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,109,109,5,2880,158*,27.69,2186,131.74
30,PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,137,11,2848,81,22.6,2358,120.78
31,GJ Maxwell (DC/KXIP/MI/RCB),2012-2024,134,129,17,2771,95,24.74,1768,156.73
32,Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,126,15,2750,83,24.77,2120,129.71
33,V Sehwag (DC/KXIP),2008-2015,104,104,5,2728,122,27.55,1755,155.44
34,MA Agarwal (DC/KXIP/PBKS/RCB/RPS/SRH),2011-2024,127,121,4,2661,106,22.74,2000,133.05
35,Ishan Kishan (GL/MI),2016-2024,105,99,6,2644,99,28.43,1946,135.86
36,N Rana (KKR/MI),2016-2024,107,101,9,2636,87,28.65,1952,135.04
37,M Vijay (CSK/DC/KXIP),2009-2020,106,106,5,2619,127,25.93,2149,121.87
38,HH Pandya (GT/MI),2015-2024,137,128,40,2525,91,28.69,1734,145.61
39,SPD Smith (DC/PWI/RPS/RR),2012-2021,103,93,21,2485,101,34.51,1940,128.09
40,AD Russell (DC/KKR),2012-2024,127,105,20,2484,88*,29.22,1420,174.92
41,SE Marsh (KXIP),2008-2017,71,69,7,2477,115,39.95,1866,132.74
42,JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*,28.55,2222,109.22
43,DR Smith (CSK/DCH/GL/MI),2008-2017,91,89,5,2385,87*,28.39,1764,135.2
44,RD Gaikwad (CSK),2020-2024,66,65,8,2380,108*,41.75,1739,136.86
45,SR Tendulkar (MI),2008-2013,78,78,11,2334,100*,34.83,1948,119.81
46,RA Tripathi (KKR/RPS/RR/SRH),2017-2024,95,93,11,2236,93,27.26,1605,139.31
47,R Dravid (RCB/RR),2008-2013,89,82,5,2174,75*,28.23,1882,115.51
48,KS Williamson (GT/SRH),2015-2024,79,77,17,2128,89,35.46,1694,125.61
49,AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,90,7,2091,88*,25.19,1631,128.2
50,AC Gilchrist (DCH/KXIP),2008-2013,80,80,4,2069,109*,27.22,1495,138.39
51,JP Duminy (DC/DCH/MI),2009-2018,83,77,26,2029,78*,39.78,1636,124.02
52,MEK Hussey (CSK/MI),2008-2015,59,58,7,1977,116*,38.76,1612,122.64
53,PP Shaw (DC),2018-2024,79,79,-,1892,99,23.94,1283,147.46
54,MP Stoinis (DC/KXIP/LSG/RCB),2016-2024,96,88,22,1866,124*,28.27,1314,142.0
55,DPMD Jayawardene (DC/Kochi/KXIP),2008-2013,80,78,15,1802,110*,28.6,1462,123.25
56,N Pooran (KXIP/LSG/PBKS/SRH),2019-2024,76,73,18,1769,77,32.16,1090,162.29
57,Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,98,16,1706,77*,20.8,1388,122.91
58,MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*,28.72,1449,116.97
59,KC Sangakkara (DCH/KXIP/SRH),2008-2013,71,68,3,1687,94,25.95,1392,121.19
60,AR Patel (DC/KXIP),2014-2024,150,113,36,1653,66,21.46,1263,130.87
61,KH Pandya (LSG/MI),2016-2024,127,111,38,1647,86,22.56,1240,132.82
62,YBK Jaiswal (RR),2020-2024,53,52,2,1607,124,32.14,1067,150.6
63,JM Bairstow (PBKS/SRH),2019-2024,50,50,4,1589,114,34.54,1100,144.45
64,DJ Bravo (CSK/GL/MI),2008-2022,161,113,44,1560,70*,22.6,1204,129.56
65,D Padikkal (LSG/RCB/RR),2020-2024,64,64,2,1559,101*,25.14,1266,123.14
66,NV Ojha (DC/RR/SRH),2009-2018,113,94,19,1554,94*,20.72,1313,118.35
67,SP Narine (KKR),2012-2024,177,110,20,1534,109,17.04,925,165.83
68,S Dube (CSK/RCB/RR),2019-2024,65,61,11,1502,95*,30.04,1024,146.67
69,KK Nair (DC/KXIP/RCB/RR),2013-2022,76,68,5,1496,83*,23.74,1171,127.75
70,SS Tiwary (DC/MI/RCB/RPS),2008-2021,93,74,22,1494,61,28.73,1244,120.09
71,DJ Hooda (KXIP/LSG/PBKS/RR/SRH),2015-2024,118,96,16,1465,64,18.31,1131,129.53
72,S Badrinath (CSK),2008-2013,95,67,20,1441,71*,30.65,1212,118.89
